Group,Category,Code,Long Description,Short Description
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9604,"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when performed; single vessel",Perc d-e cor revasc t cabg s
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9605,"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when performed; each additional branch subtended by the bypass graft (list separately in addition to code for primary procedure)",Perc d-e cor revasc t cabg b
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9606,"Percutaneous transluminal revascularization of acute total/subtotal occlusion during acute myocardial infarction, coronary artery or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including aspiration thrombectomy when performed, single vessel",Perc d-e cor revasc w ami s
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9607,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; single vessel",Perc d-e cor revasc chro sin
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9608,"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; each additional coronary artery, coronary artery branch, or bypass graft (list separately in addition to code for primary procedure)",Perc d-e cor revasc chro add
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9610,"Catheter, transluminal drug delivery with or without angioplasty, coronary, non-laser (insertable)",Cath coronary drug-delivery
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9724,"Endoscopic full-thickness plication of the stomach using endoscopic plication system (eps); includes endoscopy
                                    
                                        
Terminated December 31, 2015.",Eps stomach plic
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9725,Placement of endorectal intracavitary applicator for high intensity brachytherapy,Place endorectal app
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9726,"Placement and removal (if performed) of applicator into breast for intraoperative radiation therapy, add-on to primary breast procedure",Rxt breast appl place/remov
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9727,Insertion of implants into the soft palate; minimum of three implants,Insert palate implants
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9728,"Placement of interstitial device(s) for radiation therapy/surgery guidance (e.g., fiducial markers, dosimeter), for other than the following sites (any approach): abdomen, pelvis, prostate, retroperitoneum, thorax, single or multiple","Place device/marker, non pro"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9733,Non-ophthalmic fluorescent vascular angiography,Non-ophthalmic fva
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9734,"Focused ultrasound ablation/therapeutic intervention, other than uterine leiomyomata, with magnetic resonance (mr) guidance","U/s trtmt, not leiomyomata"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9735,"Anoscopy; with directed submucosal injection(s), any substance
                                    
                                        
Terminated December 31, 2014.","Anoscopy, submucosal inj"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9737,"Laparoscopy, surgical, esophageal sphincter augmentation with device (e.g., magnetic band)
                                    
                                        
Terminated June 30, 2015.",Lap esoph augmentation
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9738,Adjunctive blue light cystoscopy with fluorescent imaging agent  (list separately in addition to code for primary procedure),Blue light cysto imag agent
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9739,"Cystourethroscopy, with insertion of transprostatic implant; 1 to 3 implants",Cystoscopy prostatic imp 1-3
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9740,"Cystourethroscopy, with insertion of transprostatic implant; 4 or more implants",Cysto impl 4 or more
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9741,"Right heart catheterization with implantation of wireless pressure sensor in the pulmonary artery, including any type of measurement, angiography, imaging supervision, interpretation, and report
                                    
                                        
Terminated December 31, 2018.",Impl pressure sensor w/angio
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9742,"Laryngoscopy, flexible fiberoptic, with injection into vocal cord(s), therapeutic, including diagnostic laryngoscopy, if performed
                                    
                                        
Terminated December 31, 2016.",Laryngoscopy with injection
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9743,"Injection/implantation of bulking or spacer material (any type) with or without image guidance (not to be used if a more specific code applies)
                                    
                                        
Terminated June 30, 2016.",Bulking/spacer material impl
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9744,"Ultrasound, abdominal, with contrast
                                    
                                        
Terminated December 31, 2018.",Abd us w/contrast
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9745,"Nasal endoscopy, surgical; balloon dilation of eustachian tube
                                    
                                        
Terminated December 31, 2020.",Nasal endo eustachian tube
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9746,"Transperineal implantation of permanent adjustable balloon continence device, with cystourethroscopy, when performed and/or fluoroscopy, when performed
                                    
                                        
Terminated June 30, 2019.",Trans imp balloon cont
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9747,"Ablation of prostate, transrectal, high intensity focused ultrasound (hifu), including imaging guidance
                                    
                                        
Terminated December 31, 2020.","Ablation, hifu, prostate"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9748,"Transurethral destruction of prostate tissue; by radiofrequency water vapor (steam) thermal therapy
                                    
                                        
Terminated December 31, 2018.",Prostatic rf water vapor tx
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9749,"Repair of nasal vestibular lateral wall stenosis with implant(s)
                                    
                                        
Terminated December 31, 2020.",Repair nasal stenosis w/imp
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9750,"Insertion or removal and replacement of intracardiac ischemia monitoring system including imaging supervision and interpretation and peri-operative interrogation and programming; complete system (includes device and electrode)
                                    
                                        
Terminated December 31, 2018.",Ins/rem-replace compl iims
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9751,"Bronchoscopy, rigid or flexible, transbronchial ablation of lesion(s) by microwave energy, including  fluoroscopic guidance, when performed, with computed tomography acquisition(s) and 3-d rendering, computer-assisted, image-guided navigation, and endobronchial ultrasound (ebus) guided transtracheal and/or transbronchial sampling (eg, aspiration[s]/biopsy[ies]) and all mediastinal and/or hilar lymph node stations or structures and therapeutic intervention(s)","Microwave bronch, 3d, ebus"
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9752,"Destruction of intraosseous basivertebral nerve, first two vertebral bodies, including imaging guidance (e.g., fluoroscopy), lumbar/sacrum
                                    
                                        
Terminated December 31, 2021.",Intraosseous des lumb/sacrum
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9753,"Destruction of intraosseous basivertebral nerve, each additional vertebral body, including imaging guidance (e.g., fluoroscopy), lumbar/sacrum (list separately in addition to code for primary procedure)
                                    
                                        
Terminated December 31, 2021.",Intraosseous destruct add'l
HCPCS 'C' Codes,Temporary Codes For Use with Outpatient Prospective Payment System,C9754,"Creation of arteriovenous fistula,  percutaneous; direct, any site, including  all imaging and radiologic supervision and interpretation, when performed and secondary procedures to redirect blood flow (e.g., transluminal balloon angioplasty, coil embolization, when performed)
                                    
                                        
Terminated June 30, 2020.","Perc av fistula, direct"
